epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.714,1.87491,3.68346,1.98214,0.15315,0.20017,0.08421,0.02875,2.11002,5.8128,2.29651,0.000302814,0.000302814,0.000302814
2,314.959,1.73633,2.87647,1.90981,0.30511,0.23394,0.15728,0.05381,2.0679,4.75397,2.17929,0.000485863,0.000485863,0.000485863
